line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
1;aa;Afar;Afar language;regular;cus-eas;East Cushitic;;autodetect;;Latn;;
2;aaa;Ghotuo;Ghotuo language;regular;alv-yek;Yekhee;;;;Latn;;
3;aab;Alumu-Tesu;Alumu-Tesu language;regular;nic-alu;Alumic;;;;Latn;Alumu,Tesu;
4;aac;Ari;Ari language;regular;paa-pag;Papuan Gulf;;;;Latn;;
5;aad;Amal;Amal language;regular;paa-iwm;Iwam;;;;Latn;Alai;
6;aaf;Aranadan;Aranadan language;regular;dra;Dravidian;;;;Mlym;;
7;aag;Ambrak;Ambrak language;regular;qfa-tor;Torricelli;;;;Latn;;
8;aah;Abu' Arapesh;Abu' Arapesh language;regular;qfa-tor;Torricelli;;;;Latn;Abu',Ua;
9;aai;Arifama-Miniafia;Arifama-Miniafia language;regular;poz-ocw;Western Oceanic;;;;Latn;Arifama,Miniafia;
10;aak;Ankave;Ankave language;regular;ngf;Trans-New Guinea;;;;Latn;;
11;aal;Afade;Afade language;regular;cdc-cbm;Central Chadic;;;;Latn;;
12;aan;Anambé;Anambé language;regular;tup-gua;Tupi-Guarani;;;;Latn;;
13;aap;Pará Arára;Pará Arára language;regular;sai-pek;Pekodian;;;;Latn;Arára;
14;aaq;Penobscot;Penobscot language;regular;alg-abp;Abenaki-Penobscot;;;;Latn;Eastern Abenaki,Eastern Abnaki;
15;aas;Aasax;Aasax language;regular;cus-sou;South Cushitic;;;;Latn;Aasáx,Asa,Aramanik,Laramanik;
16;aau;Abau;Abau language;regular;paa-spk;Sepik;;;;Latn;;
17;aav-khs-pro;Proto-Khasian;Proto-Khasian language;reconstructed;aav-khs;Khasian;;;exceptional;Latnx;;
18;aav-nic-pro;Proto-Nicobarese;Proto-Nicobarese language;reconstructed;aav-nic;Nicobarese;;;exceptional;Latnx;;
19;aav-pkl-pro;Proto-Pnar-Khasi-Lyngngam;Proto-Pnar-Khasi-Lyngngam language;reconstructed;aav-pkl;Pnar-Khasi-Lyngngam;;;exceptional;Latnx;;
20;aav-pro;Proto-Austroasiatic;Proto-Austroasiatic language;reconstructed;aav;Austroasiatic;;;exceptional;Latnx;;
21;aaw;Solong;Solong language;regular;poz-ocw;Western Oceanic;;;;Latn;Arove,Arawe;
22;aax;Mandobo Atas;Mandobo Atas language;regular;ngf;Trans-New Guinea;;;;Latn;;
23;aaz;Amarasi;Amarasi language;regular;poz-tim;Timoric;;;;Latn;;
24;ab;Abkhaz;Abkhaz language;regular;cau-abz;Abkhaz-Abaza;sortkey;autodetect;;Cyrl,Geor,Latn;;
25;aba;Abé;Abé language;regular;alv-lag;Lagoon;;;;Latn;;
26;abb;Bankon;Bankon language;regular;bnt-bsa;Basaa;;;;Latn;Abo,Bo,Abaw,Miang,Mandouka;
27;abc;Ambala Ayta;Ambala Ayta language;regular;phi;Philippine;;;;Latn;;
28;abd;Camarines Norte Agta;Camarines Norte Agta language;regular;phi;Philippine;;;;Latn;Manide;
29;abe;Abenaki;Abenaki language;regular;alg-abp;Abenaki-Penobscot;;;;Latn;Western Abenaki,Abnaki,Western Abnaki;
30;abf;Abai Sungai;Abai Sungai language;regular;poz-san;Sabahan;;;;Latn;;
31;abg;Abaga;Abaga language;regular;paa-kag;Kainantu-Goroka;;;;Latn;;
32;abh;Tajiki Arabic;Tajiki Arabic language;regular;sem-arb;Arabic;;autodetect;;Arab;;
33;abi;Abidji;Abidji language;regular;alv-lag;Lagoon;;;;Latn;;
34;abj;Aka-Bea;Aka-Bea language;regular;qfa-ads;Southern Great Andamanese;;;;Latn;Bea,Aka-Bea-da,Akabeada,Aka-Bia,Bia,Aka-Bia-da,Akabiada,Bojingiji;
35;abl;Abung;Abung language;regular;poz-lgx;Lampungic;;;;Latn;Pepadun,Lampung Nyo;
36;abm;Abanyom;Abanyom language;regular;nic-eko;Ekoid;;;;Latn;;
37;abn;Abua;Abua language;regular;nic-cde;Central Delta;;;;Latn;;
38;abo;Abon;Abon language;regular;nic-tvn;Northern Tivoid;;;;Latn;;
39;abp;Abenlen Ayta;Abenlen Ayta language;regular;phi;Philippine;;;;Latn;;
40;abq;Abaza;Abaza language;regular;cau-abz;Abkhaz-Abaza;sortkey;autodetect;;Cyrl,Latn;;
41;abr;Abron;Abron language;regular;alv-ctn;Central Tano;;;;Latn;Brong;
42;abs;Ambonese Malay;Ambonese Malay language;regular;crp;creole or pidgin;;;;Latn;;
43;abt;Ambulas;Ambulas language;regular;paa-spk;Sepik;;;;Latn;;
44;abu;Abure;Abure language;regular;alv-ptn;Potou-Tano;;;;Latn;;
45;abv;Baharna Arabic;Baharna Arabic language;regular;sem-arb;Arabic;;autodetect;;Arab;;
46;abw;Pal;Pal language;regular;ngf-mad;Madang;;;;Latn;;
47;abx;Inabaknon;Inabaknon language;regular;poz-sbj;Sama-Bajaw;;;;Latn;;
48;aby;Aneme Wake;Aneme Wake language;regular;ngf;Trans-New Guinea;;;;Latn;;
49;abz;Abui;Abui language;regular;qfa-tap;Timor-Alor-Pantar;;;;Latn;;
50;aca;Achagua;Achagua language;regular;awd;Arawakan;;;;Latn;;
51;acb;Áncá;Áncá language;regular;nic-mom;Momo;;;;Latn;;
52;acd;Gikyode;Gikyode language;regular;alv-gng;Guang;;;;Latn;;
53;ace;Acehnese;Acehnese language;regular;cmc;Chamic;;;;Latn,ms-Arab;;standard characters
54;ach;Acholi;Acholi language;regular;sdv-los;Southern Luo;;;;Latn;;
55;aci;Aka-Cari;Aka-Cari language;regular;qfa-adn;Northern Great Andamanese;;;;Latn;Cari,Aka-Kari,Kari,Chariar;
56;ack;Aka-Kora;Aka-Kora language;regular;qfa-adn;Northern Great Andamanese;;;;Latn;Kora;
